hyper	hypo	sim
heterogeneous_wireless_network	frequent_item_sets	0.10375937482035757
question_answering	approximation_theory	0.3690702464291169
bm25	software_design	0.08170416594683527
computer_networks	network_protocols	-0.5849625007188695
bilingual_dictionary	automated_theorem_proving	-0.5849625007188695
higher-order_logic	formal_logic	-693147180558.9453
collaborative_filtering	test_case_generation	1.4426237981979284e-12
uml_class_diagrams	unified_modeling_language	0.05360536964367535
web_personalization	requirements_elicitation	0.3690702464291169
hierarchical_clustering	video_processing	0.10516816394805939
clustering	spectral_clustering	-0.3205467663018142
variational_approximation	computer_networks	1.4426237981979284e-12
content-based_image_retrieval	image_retrieval	-1386294361118.8906
automata_theory	web_search	0.026802684822292977
data_mining	link_analysis	0.4791970372025718
statistical_machine_translation	unified_modeling_language	0.2500000000005411
variational_approximation	computer_science	1.4426237981979284e-12
query_expansion	relation_extraction	1.4426237981979284e-12
parallel_corpora	image_segmentation	1.4426237981979284e-12
collaborative_filtering	recommender_systems	1.4426237981979284e-12
multi-hop_wireless_networks	wireless_networks	0.29571799369512164
object_detection	question_answering	-0.2679700005754615
hierarchical_clustering	data_mining	-0.08404918968811481
decision_rules	personalized_recommendation	-0.5849625007188695
relation_extraction	information_extraction	1.4426237981979284e-12
spectral_clustering	textual_entailment	0.3690702464291169
question_answering	hierarchical_clustering	-0.11752841115973656
ad_hoc_wireless_networks	patent_retrieval	0.20751874963999373
cellular_automata	k-means_clustering	-0.44891782599185737
data_mining	text_mining	0.17454683370160096
link_analysis	image_enhancement	1.4426237981979284e-12
explicit_feedback	relevance_feedback	1.4426237981979284e-12
machine_translation	natural_language_processing	-0.4649735207165939
relation_extraction	query_processing	-0.49999999999783595
collaborative_filtering	requirements_management	1.4426237981979284e-12
approximation_theory	theoretical_computer_science	-0.5849625007188695
finite_automata	automata_theory	9.102718578901658e-13
requirements_management	requirements_engineering	1.4426237981979284e-12
requirements_engineering	gesture_recognition	1.4426237981979284e-12
requirements_engineering	requirements_elicitation	1.4426237981979284e-12
stochastic_approximation	natural_language_processing	-1.3219280948840129
theoretical_computer_science	computer_science	0.3690702464291169
fuzzy_clustering	clustering	0.38793777866651213
pseudo_relevance_feedback	web_usage_mining	9.102718578901658e-13
software_engineering	software_design	0.5075599281480638
text_classification	image_enhancement	1.4426237981979284e-12
data_mining	requirements_elicitation	0.4791970372025718
unified_modeling_language	software_design	0.3878027772975958
retrieval_effectiveness	mean_average_precision	9.102718578901658e-13
computational_learning_theory	first-order_logic	1.0
finite_automata	requirements_specification	0.3690702464291169
decision_trees	rule_induction	0.3333333333339745
formal_logic	decision_tables	1.4426237981979284e-12
approximation_theory	medical_image_segmentation	-0.9999999999971148
machine_translation	statistical_machine_translation	-0.2618595071417662
wordnet	turing_machines	0.08170416594683527
tag_recommendation	information_extraction	0.3690702464291169
information_retrieval	language_model	0.08883308001561929
vector_space_model	opinion_mining	0.3690702464291169
data_mining	spatial_data_mining	0.0075375303683290484
automatic_programming	text_mining	-1098612288667.1096
web_usage_mining	web_mining	9.102718578901658e-13
information_extraction	explicit_feedback	1.4426237981979284e-12
software_architecture_design	text_classification	0.5000000000003607
object_detection	gesture_recognition	0.20000000000092322
wordnet	coreference_resolution	1.4426237981979284e-12
face_recognition	mean_average_precision	-0.5849625007188695
requirements_engineering	requirements_specification	1.4426237981979284e-12
pseudo_relevance_feedback	linear_programming_relaxation	-0.10630080964366506
bm25	retrieval_models	-0.5849625007188695
information_retrieval	query_processing	0.08883308001561929
turing_machines	requirements_management	-0.08897368681636797
computational_learning_theory	query_expansion	0.3690702464291169
explicit_feedback	test_case_generation	1.4426237981979284e-12
sparse_approximation	text_classification	0.2262943855317805
music_recommendation	variational_approximation	0.5000000000003607
clustering	collaborative_filtering	0.1668277541576113
theoretical_computer_science	approximation_theory	0.3690702464291169
pseudo_relevance_feedback	relevance_feedback	0.3690702464291169
image_retrieval	software_architecture_design	7.214229214014267e-13
image_retrieval	uml_2.0	1.0
unified_modeling_language	network_protocols	-0.05664166714642116
information_retrieval	computer_science	0.39255538667707957
bm25	medical_image_segmentation	-0.9999999999971148
bug_reports	automated_reasoning	-0.6524693142546343
lexical_resources	wordnet	1.4426237981979284e-12
retrieval_models	vector_space_model	9.102718578901658e-13
automatic_programming	lexical_resources	-693147180558.9453
software_design	software_engineering	-1.0307039519284475
cellular_automata	web_mining	-0.02028858239165099
formal_logic	higher-order_logic	1.0
relevance_feedback	fuzzy_clustering	-0.9609640474408525
web_usage_mining	statistical_machine_translation	-0.2618595071417662
web_personalization	web_mining	9.102718578901658e-13
data_warehouse	data_mining	-0.21145576857214565
requirements_specification	coreference_resolution	1.4426237981979284e-12
translation_quality	music_recommendation	-0.2618595071417662
computational_learning_theory	requirements_elicitation	0.3690702464291169
natural_language_processing	textual_entailment	0.5693234419268747
formal_logic	statistical_language_models	-0.5849625007188695
parallel_corpora	text_clustering	-0.5849625007188695
computer_vision	image_enhancement	1.4426237981979284e-12
requirements_management	opinion_mining	1.4426237981979284e-12
web_mining	web_personalization	9.102718578901658e-13
requirements_traceability	requirements_engineering	0.3333333333339745
dialogue_systems	heterogeneous_wireless_network	-0.2618595071417662
web_page_classification	web_mining	9.102718578901658e-13
entity_extraction	information_extraction	1.4426237981979284e-12
automatic_programming	higher-order_logic	1.0
sparse_approximation	approximation_theory	0.2262943855317805
requirements_specification	decision_tables	1.4426237981979284e-12
rule_induction	decision_rules	1.4426237981979284e-12
language_model	linear_programming_relaxation	-0.16896353186838176
requirements_engineering	requirements_traceability	-0.49999999999783595
cellular_automata	software_design	0.4088650335151063
information_retrieval	learning_to_rank	0.03722306661810826
first-order_logic	formal_logic	-693147180558.9453
first-order_logic	statistical_language_models	-1098612288667.1096
dialogue_systems	natural_language_processing	-0.4649735207165939
computational_learning_theory	language_model	0.05360536964367535
object_detection	formal_logic	0.20000000000092322
requirements_traceability	bm25	0.3333333333339745
image_retrieval	content-based_image_retrieval	1.0
clustering	k-means_clustering	-0.8753162416710569
entity_extraction	sentiment_analysis	1.4426237981979284e-12
coreference_resolution	web_mining	-0.5849625007188695
parallel_corpora	machine_translation	-0.5849625007188695
natural_language_processing	lexical_resources	0.5693234419268747
computer_science	computer_vision	1.4426237981979284e-12
video_processing	collaborative_filtering	0.3690702464291169
tag_recommendation	peer-to-peer_networks	-0.10515495892757021
information_retrieval	retrieval_effectiveness	0.03722306661810826
information_extraction	query_reformulation	1.4426237981979284e-12
apriori	learning_to_rank	-0.5849625007188695
spatial_data_mining	image_segmentation	0.4752416552433286
parallel_corpora	network_protocols	-0.5849625007188695
wordnet	link_analysis	1.4426237981979284e-12
wireless_networks	computer_science	0.3429387345181628
language_model	collaborative_filtering	0.3333333333339745
spatial_data_mining	statistical_language_models	0.16827770162017153
query_expansion	retrieval_effectiveness	-0.5849625007188695
relevance_feedback	bm25	1.4426237981979284e-12
automata_theory	query_processing	0.05360536964367535
spectral_clustering	clustering	0.2427379131763855
computer_science	computer_networks	1.4426237981979284e-12
vector_space_model	gesture_recognition	0.3690702464291169
automatic_programming	mean_average_precision	-1098612288667.1096
requirements_management	higher-order_logic	1.0
link_analysis	content-based_image_retrieval	1.0
question_answering	information_retrieval	-0.03866219196337628
face_recognition	personalized_recommendation	-0.5849625007188695
computer_vision	image_retrieval	-0.9999999999971148
graph_theory	decision_rules	1.4426237981979284e-12
parallel_corpora	requirements_elicitation	1.4426237981979284e-12
image_enhancement	rule_induction	1.4426237981979284e-12
frequent_closed_itemsets	heterogeneous_wireless_network	-0.2618595071417662
requirements_elicitation	requirements_engineering	1.4426237981979284e-12
turing_machines	first-order_logic	1.0
syntactic_parsing	natural_language_processing	-0.4649735207165939
question_answering	query_expansion	0.3690702464291169
rule_induction	language_model	-0.49999999999783595
network_protocols	computer_networks	0.3690702464291169
rule_induction	face_recognition	1.4426237981979284e-12
hierarchical_clustering	music_recommendation	-0.1291520596162914
linear_programming_relaxation	object_detection	0.28711776662535415
clustering	variational_approximation	0.1668277541576113
natural_language_processing	dependency_parsing	0.31739380551443896
data_mining	computer_science	0.4791970372025718
uml_2.0	unified_modeling_language	-1039720770838.9178
computer_vision	object_detection	-0.24999999999819655
turing_machines	automata_theory	-0.7259824578760075
graph_theory	dependency_parsing	-0.5849625007188695
theoretical_computer_science	computational_learning_theory	9.102718578901658e-13
association_rule_mining	automated_reasoning	0.20751874963999373
usability_testing	system_testing	1.0
spatial_data_mining	data_mining	-0.007594776223243782
question_answering	unified_modeling_language	0.05360536964367535
language_model	routing_algorithm	-0.05664166714642116
peer-to-peer_networks	automata_theory	0.09514951553160067
finite_automata	web_usage_mining	9.102718578901658e-13
text_mining	sentiment_analysis	0.3690702464291169
data_mining	automata_theory	0.17454683370160096
requirements_engineering	recommender_systems	1.4426237981979284e-12
image_enhancement	multi-hop_wireless_networks	-1.1609640474405638
data_warehouse	lexical_resources	0.3690702464291169
requirements_elicitation	music_recommendation	-0.9999999999971148
association_rule_mining	frequent_item_sets	0.10375937482035757
fuzzy_clustering	lexical_resources	0.49004674445568386
web_search	tag_recommendation	-0.02754085364030523
computer_science	natural_language_processing	-1.3219280948840129
approximation_theory	machine_translation	-0.5849625007188695
gesture_recognition	object_detection	-0.24999999999819655
statistical_machine_translation	dialogue_systems	0.20751874963999373
natural_language_processing	implicit_feedback	0.5693234419268747
automata_theory	software_engineering	-0.17654958928469133
k-means_clustering	sentiment_analysis	0.5557164027441945
formal_logic	automated_reasoning	-0.5849625007188695
approximation_theory	stochastic_approximation	1.4426237981979284e-12
unified_modeling_language	decision_rules	0.3333333333339745
automated_reasoning	formal_logic	0.3690702464291169
spectral_clustering	web_usage_mining	9.102718578901658e-13
requirements_management	test_case_generation	1.4426237981979284e-12
mean_average_precision	fuzzy_clustering	-0.23723056321500358
text_mining	opinion_mining	0.3690702464291169
variational_approximation	text_mining	-0.5849625007188695
network_protocols	image_enhancement	0.3690702464291169
requirements_traceability	clustering	0.19984532611118977
opinion_mining	face_recognition	1.4426237981979284e-12
stochastic_approximation	uml_class_diagrams	-0.5849625007188695
web_search	statistical_language_models	-0.02754085364030523
bilingual_dictionary	stochastic_approximation	1.4426237981979284e-12
spectral_clustering	image_segmentation	0.3690702464291169
requirements_engineering	software_engineering	-0.864786979254121
requirements_traceability	spatial_data_mining	-0.2704260414851558
textual_entailment	personalized_recommendation	-0.5849625007188695
image_enhancement	query_reformulation	1.4426237981979284e-12
frequent_item_sets	association_rule_mining	-0.11577178260362131
statistical_machine_translation	web_personalization	0.20751874963999373
implicit_feedback	translation_quality	-0.5849625007188695
machine_translation	entity_extraction	0.3690702464291169
question_answering	requirements_traceability	0.05360536964367535
