Epoch	Updates	PosLoss	NegLoss	DevLoss	DevMAP	DevAP	DevMRR	TimeElapsed
1	16	0.6992	7.0832	0.6754	0.0000	0.0000	0.0000	5.6s
2	17	0.7179	6.5686	0.7035	0.0000	0.0000	0.0000	10.3s
3	16	0.7436	6.1078	0.7308	0.0000	0.0000	0.0000	14.8s
4	15	0.7531	5.6833	0.7562	0.0000	0.0000	0.0000	19.4s
5	16	0.7747	5.3827	0.7819	0.0000	0.0000	0.0000	24.0s
6	17	0.7968	5.0612	0.8085	0.0000	0.0000	0.0000	28.7s
7	17	0.8077	4.8155	0.8339	0.0000	0.0000	0.0000	33.5s
8	16	0.8262	4.5057	0.8562	0.0000	0.0000	0.0000	38.1s
9	16	0.8499	4.1975	0.8782	0.0000	0.0000	0.0000	42.8s
10	16	0.8373	4.1458	0.8994	0.0000	0.0000	0.0000	47.4s
11	16	0.8718	3.9385	0.9203	0.0000	0.0000	0.0000	52.1s
12	16	0.8755	3.7590	0.9417	0.0000	0.0000	0.0000	56.8s
13	15	0.9048	3.5680	0.9602	0.0000	0.0000	0.0000	61.3s
14	17	0.8543	3.4161	0.9826	0.0000	0.0000	0.0000	66.3s
15	18	0.8858	3.3206	1.0053	0.0000	0.0000	0.0000	71.3s
16	15	0.9552	3.1131	1.0224	0.0000	0.0000	0.0000	75.9s
17	16	0.9159	3.0288	1.0407	0.0000	0.0000	0.0000	80.7s
18	17	0.9206	3.0515	1.0605	0.0000	0.0000	0.0000	85.5s
19	16	0.9292	2.8574	1.0776	0.0000	0.0000	0.0000	90.0s
20	16	0.8899	2.6696	1.0940	0.0000	0.0000	0.0000	94.5s
21	16	0.9542	2.7004	1.1115	0.0000	0.0000	0.0000	99.1s
22	15	0.9000	2.5654	1.1253	0.0000	0.0000	0.0000	103.5s
23	17	0.9262	2.5849	1.1394	0.0000	0.0000	0.0000	108.4s
24	16	0.9107	2.5142	1.1548	0.0667	1.0000	1.0000	113.2s
25	16	0.8841	2.4445	1.1656	0.1333	2.0000	2.0000	118.2s
26	15	0.8996	2.4148	1.1767	0.0667	1.0000	1.0000	123.0s
27	17	0.8278	2.2031	1.1897	0.0667	1.0000	1.0000	128.1s
28	16	0.7881	2.2403	1.2035	0.0667	1.0000	1.0000	133.0s
29	16	0.8640	2.0543	1.2166	0.0667	1.0000	1.0000	138.1s
30	16	0.8324	2.2034	1.2278	0.0667	1.0000	1.0000	143.2s
31	15	0.8966	2.0596	1.2372	0.0667	1.0000	1.0000	148.0s
32	17	0.8118	2.0773	1.2492	0.0667	1.0000	1.0000	153.5s
33	16	0.8410	2.0313	1.2591	0.0667	1.0000	1.0000	159.0s
34	14	0.7583	2.0080	1.2692	0.0667	1.0000	1.0000	163.5s
35	16	0.8156	2.0179	1.2802	0.0667	1.0000	1.0000	168.5s
36	16	0.8080	2.0212	1.2909	0.0667	1.0000	1.0000	173.4s
37	16	0.7654	1.9320	1.3026	0.0667	1.0000	1.0000	178.4s
38	17	0.6780	1.8799	1.3128	0.0667	1.0000	1.0000	183.8s
39	16	0.6615	1.9171	1.3208	0.0667	1.0000	1.0000	188.9s
40	15	0.6589	1.8041	1.3306	0.0667	1.0000	1.0000	193.8s
41	17	0.6543	1.9133	1.3394	0.0667	1.0000	1.0000	199.4s
42	17	0.6422	1.8111	1.3490	0.0667	1.0000	1.0000	204.9s
43	17	0.6215	1.7381	1.3589	0.0667	1.0000	1.0000	210.6s
44	16	0.5946	1.7362	1.3680	0.0667	1.0000	1.0000	216.2s
45	16	0.6011	1.7280	1.3780	0.0667	1.0000	1.0000	222.0s
46	16	0.5295	1.8112	1.3885	0.0667	1.0000	1.0000	228.3s
47	17	0.5489	1.7693	1.3977	0.0667	1.0000	1.0000	234.4s
48	16	0.5692	1.8175	1.4066	0.0667	1.0000	1.0000	240.3s
49	16	0.5173	1.6525	1.4125	0.0667	1.0000	1.0000	246.2s
50	16	0.5000	1.7349	1.4217	0.0667	1.0000	1.0000	252.2s
51	17	0.5167	1.6658	1.4308	0.0667	1.0000	1.0000	259.3s
52	16	0.4504	1.6744	1.4381	0.0667	1.0000	1.0000	265.3s
53	16	0.4556	1.6942	1.4434	0.0667	1.0000	1.0000	271.0s
54	16	0.5191	1.5968	1.4478	0.0667	1.0000	1.0000	277.3s
55	17	0.4713	1.5563	1.4529	0.0667	1.0000	1.0000	283.7s
56	16	0.3897	1.6278	1.4584	0.0667	1.0000	1.0000	289.8s
57	17	0.4076	1.5703	1.4676	0.0667	1.0000	1.0000	296.2s
58	17	0.3991	1.5448	1.4754	0.0667	1.0000	1.0000	302.6s
59	16	0.4024	1.4273	1.4821	0.0667	1.0000	1.0000	308.7s
60	17	0.3910	1.5531	1.4881	0.0667	1.0000	1.0000	315.7s
61	16	0.3694	1.5586	1.4930	0.0667	1.0000	1.0000	321.7s
62	16	0.3451	1.4748	1.4990	0.0667	1.0000	1.0000	328.0s
63	16	0.3633	1.4377	1.5050	0.0667	1.0000	1.0000	334.7s
64	15	0.3169	1.4942	1.5100	0.0667	1.0000	1.0000	341.3s
65	16	0.3545	1.4772	1.5144	0.0667	1.0000	1.0000	347.6s
66	16	0.2977	1.2877	1.5197	0.0667	1.0000	1.0000	354.2s
67	16	0.3090	1.4475	1.5263	0.0667	1.0000	1.0000	360.5s
68	15	0.3400	1.4742	1.5302	0.0667	1.0000	1.0000	366.6s
69	16	0.3111	1.3888	1.5346	0.0667	1.0000	1.0000	373.4s
70	15	0.2820	1.4191	1.5377	0.0667	1.0000	1.0000	379.5s
71	17	0.3257	1.4304	1.5410	0.0667	1.0000	1.0000	386.1s
72	15	0.2708	1.5468	1.5429	0.0667	1.0000	1.0000	392.2s
73	15	0.2679	1.3469	1.5460	0.0667	1.0000	1.0000	398.3s
74	15	0.2495	1.4022	1.5510	0.0667	1.0000	1.0000	404.4s
75	16	0.2617	1.5706	1.5506	0.0667	1.0000	1.0000	411.0s
76	16	0.2319	1.4990	1.5497	0.0667	1.0000	1.0000	417.5s
77	16	0.2341	1.5124	1.5494	0.0667	1.0000	1.0000	424.6s
78	17	0.2385	1.4502	1.5510	0.0667	1.0000	1.0000	433.4s
79	15	0.2335	1.3966	1.5523	0.0667	1.0000	1.0000	440.2s
80	16	0.2086	1.3458	1.5565	0.0667	1.0000	1.0000	447.5s
81	17	0.2140	1.3923	1.5592	0.0667	1.0000	1.0000	455.1s
82	15	0.2302	1.4240	1.5588	0.0667	1.0000	1.0000	462.8s
83	16	0.1711	1.2798	1.5602	0.0667	1.0000	1.0000	470.2s
84	16	0.1846	1.3604	1.5635	0.0667	1.0000	1.0000	477.7s
85	17	0.1780	1.3133	1.5678	0.0667	1.0000	1.0000	485.6s
86	15	0.1746	1.2867	1.5727	0.0667	1.0000	1.0000	492.3s
87	16	0.1870	1.2292	1.5770	0.0667	1.0000	1.0000	499.7s
88	15	0.2002	1.3122	1.5777	0.0667	1.0000	1.0000	506.4s
89	16	0.1645	1.4925	1.5782	0.0667	1.0000	1.0000	513.0s
90	16	0.1682	1.1659	1.5807	0.0667	1.0000	1.0000	520.2s
91	16	0.1537	1.2369	1.5851	0.0667	1.0000	1.0000	527.8s
92	16	0.1518	1.2558	1.5896	0.0667	1.0000	1.0000	535.1s
93	15	0.1676	1.4105	1.5925	0.0667	1.0000	1.0000	542.0s
94	14	0.1409	1.1890	1.5935	0.0667	1.0000	1.0000	548.5s
95	16	0.1362	1.1468	1.5998	0.0667	1.0000	1.0000	555.4s
96	17	0.1188	1.2604	1.6033	0.0667	1.0000	1.0000	563.1s
97	15	0.1393	1.2234	1.6054	0.0667	1.0000	1.0000	569.7s
98	16	0.1506	1.2298	1.6088	0.0667	1.0000	1.0000	576.8s
